exchange,symbol,portfolio
eurex,EXD,DIVDELTA_DE
eurex,EXD-MID,DIVDELTA_DE
eurex,EXD-MID2,DIVDELTA_DE
eurex,EXD-MID3,DIVDELTA_DE
eurex,EXD-MID4,DIVDELTA_DE
eurex,EXD-MID5,DIVDELTA_DE
eurex,SXPESG,DIVDELTA_DE
eurex,SXEBANKS,DIVDELTA_DE
eurex,EBD,DIVDELTA_DE
eurex,SXPBANKS,DIVDELTA_DE
eurex,SXEEDV,DIVDELTA_DE
eurex,SXPXXP,DIVDELTA_DE
eurex,ESX,DIVDELTA_DE
eurex,EXD,FAKE_DIVDELTA_DE
eurex,EXD-MID,FAKE_DIVDELTA_DE
eurex,EXD-MID2,FAKE_DIVDELTA_DE
eurex,EXD-MID3,FAKE_DIVDELTA_DE
eurex,EXD-MID4,FAKE_DIVDELTA_DE
eurex,EXD-MID5,FAKE_DIVDELTA_DE
eurex,ESTR-MID2,EURORATES_DE
eurex,ESTR-MID,EURORATES_DE
eurex,ESTR,EURORATES_DE
eurex,EURIBOR,EURORATES_DE
eurex,EURIBOR-MID3,EURORATES_DE
eurex,EURIBOR-MID,EURORATES_DE
eurex,EURIBOR-MID2,EURORATES_DE
eurex,EURIBOR-MID3,MOCK_EURORATES_DE
eurex,EURIBOR,MOCK_EURORATES_DE
eurex,EURIBOR-MID2,MOCK_EURORATES_DE
eurex,EURIBOR,SE_PROP_DE
eurex,ESTR-MID3,SE_PROP_DE
eurex,EURIBOR-MID3,SE_PROP_DE
eurex,ESTR,SE_PROP_DE
eurex,ESTR-MID2,SE_PROP_DE
eurex,ESTR-MID,SE_PROP_DE
eurex,EURIBOR-MID,SE_PROP_DE
eurex,EURIBOR-MID2,SE_PROP_DE
eurex,BUXL,EURORATES_DE
eurex,SHAZ,EURORATES_DE
eurex,BUND,EURORATES_DE
eurex,BOBL,EURORATES_DE
eurex,ESTR,EURORATES_DE_VT
eurex,ESTR-MID2,EURORATES_DE_VT
eurex,EURIBOR-MID,EURORATES_DE_VT
eurex,EURIBOR-MID3,EURORATES_DE_VT
eurex,EURIBOR-MID2,EURORATES_DE_VT
eurex,EURIBOR,EURORATES_DE_VT
eurex,ESTR-MID,EURORATES_DE_VT
eurex,BTP2,FIPROP
eurex,BUXL,FIPROP
eurex,BUXL,FIPROP_MDA
eurex,SHAZ,FIPROP_MDA
eurex,BTP,FIPROP_MDA
eurex,OAT,FIPROP_MDA
eurex,BTP2,FIPROP_MDA
eurex,BOBL,FIPROP_MDA
eurex,BUND,FIPROP_MDA
eurex,BUXL,MOCK_EURORATES_DE
eurex,OAT,FIXEDINCOME_FAKEFIXED
eurex,BTP,FIXEDINCOME_FAKEFIXED
eurex,BUND,JNR_FIPROP_DE
eurex,BOBL,ROLLS_DE
eurex,BUND,ROLLS_DE
eurex,BUXL,ROLLS_DE
eurex,SHAZ,FIPROP
eurex,BUND,FIPROP
eurex,BOBL,FIPROP
eurex,BTP,FIPROP
eurex,OAT,FIPROP
eurex,SHAZ,FIPROP_VT
eurex,BTP,FIPROP_VT
eurex,BOBL,FIPROP_VT
eurex,BUND,FIPROP_VT
eurex,OAT,FIPROP_VT
eurex,OAT,FIXEDINCOME_DE
eurex,BUXL,FIXEDINCOME_DE
eurex,BUND,FIXEDINCOME_DE
eurex,SHAZ,FIXEDINCOME_DE
eurex,BOBL,FIXEDINCOME_DE
eurex,BOBL,FIXEDINCOME_SANDBOX_VT
eurex,BUND,FIXEDINCOME_SANDBOX_VT
eurex,OAT,FIXEDINCOME_SANDBOX_VT
eurex,BTP,FIXEDINCOME_SANDBOX_VT
eurex,BUXL,FIXEDINCOME_SANDBOX_VT
eurex,SHAZ,FIXEDINCOME_SANDBOX_VT
eurex,BUND,FIXEDM_DE
eurex,BOBL,FIXEDVT_DE
eurex,BUND,FIXEDVT_DE
eurex,SHAZ,FIXEDVT_DE
eurex,BUXL,FIXEDVT_DE
eurex,BUND,JNR_FIXEDINCOME_DE
eurex,SHAZ,MOCK_EURORATES_DE
eurex,BUND,MOCK_EURORATES_DE
eurex,BOBL,MOCK_EURORATES_DE
eurex,OAT,ROLLS_DE
eurex,BTP2,FIXEDINCOME_DE
eurex,BTP,FIXEDINCOME_DE
eurex,BTP,ROLLS_DE
eurex,BTP2,ROLLS_DE
eurex,ESX,FIXEDINCOME_ESX
eurex,SHAZ,ROLLS_DE
eurex,SHAZ,FIXEDINCOME_FAKEFIXED
eurex,BUXL,FIXEDINCOME_FAKEFIXED
eurex,BUND,FIXEDINCOME_FAKEFIXED
eurex,BOBL,FIXEDINCOME_FAKEFIXED
eurex,OAT,FIXEDVT_DE
eurex,BTP,FIXEDVT_DE
eurex,DAXM,RED_TEST
eurex,DAX,RED_TEST
eurex,SMI,RED_TEST
eurex,BUND,RED
eurex,DAX,RED
eurex,SXETECH,RED
eurex,SXPTECH,RED
eurex,BOBL,RED
eurex,ESX,RED
eurex,SHAZ,RED
eurex,ESX,RED_TEST
eurex,8TRA_GY,RED
eurex,NOK,RED
eurex,SXEUTIL,RED
eurex,ABBS,RED
eurex,ENR,RED
eurex,WACK,RED
eurex,LDO_IM,RED
eurex,PSM,RED
eurex,ADVV_GY,RED
eurex,VSX,RED
eurex,DWS_GY,RED
eurex,COPMA_DE,RED
eurex,MORG_DE,RED
eurex,VAR1,RED
eurex,HOT,RED
eurex,SXEOIL,RED
eurex,DHER,RED
eurex,CEO,RED
eurex,BOSS,RED
eurex,ABBN,RED
eurex,GXI,RED
eurex,BEI,RED
eurex,AH,RED
eurex,PHIL,RED
eurex,ARCAD,RED
eurex,ING,RED
eurex,TKA-X,RED
eurex,ARCM,RED
eurex,SAF,RED
eurex,CARRE,RED
eurex,SU,RED
eurex,SHA,RED
eurex,VIVENDI,RED
eurex,ABEA_GY,RED
eurex,SMI,RED
eurex,SGO,RED
eurex,DTE,RED
eurex,TUI,RED
eurex,TFD,RED
eurex,TKA,RED
eurex,AUR,RED
eurex,EOA,RED
eurex,HEIG,RED
eurex,ELK,RED
eurex,UL,RED
eurex,APC_GY,RED
eurex,SXPCONS,RED
eurex,NFC_GY,RED
eurex,DAXM,RED
eurex,HLE,RED
eurex,SOW4,RED
eurex,TL0_GY,RED
eurex,HLAG_GY,RED
eurex,AIRP,RED
eurex,ABIB,RED
eurex,SHEALTH,RED
eurex,KOSPI,RED
eurex,1COV_DE,RED
eurex,TLX,RED
eurex,FTE,RED
eurex,EI,RED
eurex,IFX,RED
eurex,FIEG_DE,RED
eurex,MSF_GY,RED
eurex,NORD,RED
eurex,HHUL,RED
eurex,SIXG_DE,RED
eurex,FB2A_GY,RED
eurex,AIX,RED
eurex,FRES,RED
eurex,GBF,RED
eurex,KRNG_DE,RED
eurex,NORD-R,RED
eurex,TAGI,RED
eurex,G1A,RED
eurex,AMZ_GY,RED
eurex,DEQ,RED
eurex,EAD,RED
eurex,EVK,RED
eurex,ADV_GY,RED
eurex,BC8G_DE,RED
eurex,MEO,RED
eurex,SAE_GY,RED
eurex,SAX_GY,RED
eurex,SY1,RED
eurex,DWN,RED
eurex,VTSC,RED
eurex,DTG_GY,RED
eurex,DPW,RED
eurex,LHA,RED
eurex,ZAL,RED
eurex,TMV,RED
eurex,RWE,RED
eurex,BMW,RED
eurex,MUV2,RED
eurex,FPORT,RED
eurex,SZG,RED
eurex,DBK,RED
eurex,SAP,RED
eurex,LEGIM,RED
eurex,SXEBANKS,RED
eurex,HNR1,RED
eurex,PUM,RED
eurex,LXS,RED
eurex,HDD,RED
eurex,GSZ,RED
eurex,LOREAL,RED
eurex,DAN,RED
eurex,RHM,RED
eurex,DRW3,RED
eurex,BTAG,RED
eurex,GLJ,RED
eurex,KCO,RED
eurex,DEZG_DE,RED
eurex,FRN,RED
eurex,KGX,RED
eurex,S92_GY,RED
eurex,POR3,RED
eurex,FME,RED
eurex,EVT,RED
eurex,LPK_GY,RED
eurex,DUE,RED
eurex,JUNG_P_DE,RED
eurex,VINCI,RED
eurex,UN,RED
eurex,ELF,RED
eurex,ADYEN,RED
eurex,SZU,RED
eurex,BAS,RED
eurex,SDF,RED
eurex,SIE,RED
eurex,CON,RED
eurex,VOW3,RED
eurex,CBK,RED
eurex,ALV,RED
eurex,BAY,RED
eurex,ASML,RED
eurex,DB1,RED
eurex,DCX,RED
eurex,MERC,RED
eurex,RDS,RED
eurex,TKMS_GY,RED
eurex,ADJ,RED
eurex,EIE3,RED
eurex,AXAF,RED
eurex,VNA,RED
eurex,HFG,RED
eurex,HEN3,RED
eurex,SOC-GEN,RED
eurex,LVMH,RED
eurex,AAR,RED
eurex,LEO,RED
eurex,BNP,RED
eurex,MTX,RED
eurex,WDI,RED
eurex,SAN-SYN,RED
eurex,JEN_GY,RED
eurex,ADS,RED
eurex,WDI,RED_TEST
eurex,DTE,RED_TEST
eurex,TUI,VTSTOCKS_DE
eurex,SHA,VTSTOCKS_DE
eurex,HAG,VTSTOCKS_DE
eurex,DTG_GY,VTSTOCKS_DE
eurex,AMS,VTSTOCKS_DE
eurex,FTSETF,VTSTOCKS_DE
eurex,TCFP,VTSTOCKS_DE
eurex,RHM,VTSTOCKS_DE
eurex,AIX,VTSTOCKS_DE
eurex,TEF,VTSTOCKS_DE
eurex,AT1,VTSTOCKS_DE
eurex,ESX,VTSTOCKS_DE
eurex,IBE,VTSTOCKS_DE
eurex,ITX,VTSTOCKS_DE
eurex,DPW,VTSTOCKS_DE
eurex,FRES,VTSTOCKS_DE
eurex,SAP,VTSTOCKS_DE
eurex,ABIB,VTSTOCKS_DE
eurex,DCX-X,VTSTOCKS_DE
eurex,DTE,VTSTOCKS_DE
eurex,ENR,VTSTOCKS_DE
eurex,VOW3,VTSTOCKS_DE
eurex,EVT,VTSTOCKS_DE
eurex,EOAX,VTSTOCKS_DE
eurex,SDF,VTSTOCKS_DE
eurex,MTX,VTSTOCKS_DE
eurex,EOA,VTSTOCKS_DE
eurex,LXS,VTSTOCKS_DE
eurex,VNA,VTSTOCKS_DE
eurex,SAN_SM,VTSTOCKS_DE
eurex,RWE,VTSTOCKS_DE
eurex,DTG,VTSTOCKS_DE
eurex,BAY,VTSTOCKS_DE
